schoolId,prefectureId,year,prize,last,representative
205,23,2013,銅賞,支部,False
4807,21,2013,銅賞,支部,False
2308,21,2013,銀賞,支部,False
50,22,2013,金賞,支部,False
3701,10,2013,銀賞,支部,False
407,10,2013,銅賞,支部,False
4522,10,2013,銀賞,全国,False
941,10,2013,銀賞,全国,False
4288,10,2013,銅賞,支部,False
1218,10,2013,銅賞,支部,False
4025,10,2013,金賞,支部,False
2151,10,2013,金賞,支部,False
3764,10,2013,銀賞,支部,False
2606,10,2013,銀賞,支部,False
3428,10,2013,銀賞,支部,False
1715,10,2013,銀賞,支部,False
4722,13,2013,銀賞,支部,False
1036,14,2013,銀賞,支部,False
2962,15,2013,銀賞,支部,False
4458,13,2013,銅賞,支部,False
3151,14,2013,銅賞,支部,False
5085,15,2013,金賞,全国,False
1074,12,2013,銅賞,支部,False
132,15,2013,銀賞,全国,False
718,12,2013,銅賞,支部,False
3570,14,2013,銅賞,支部,False
5096,15,2013,金賞,支部,False
1447,15,2013,金賞,支部,False
2903,15,2013,金賞,全国,False
3657,12,2013,銀賞,支部,False
2103,15,2013,金賞,支部,False
2654,15,2013,金賞,支部,False
3931,14,2013,銀賞,支部,False
4842,13,2013,銀賞,支部,False
2031,13,2013,銀賞,支部,False
3976,15,2013,金賞,支部,False
1784,12,2013,銀賞,支部,False
3894,12,2013,銀賞,支部,False
1910,11,2013,金賞,支部,False
1400,11,2013,銅賞,支部,False
2094,8,2013,銅賞,支部,False
382,11,2013,銀賞,支部,False
1408,9,2013,金賞,全国,False
3647,9,2013,金賞,全国,False
1680,7,2013,銅賞,支部,False
3863,11,2013,銅賞,支部,False
1659,9,2013,金賞,全国,False
3604,11,2013,銀賞,支部,False
1293,8,2013,銀賞,支部,False
1455,11,2013,金賞,支部,False
2874,11,2013,銀賞,支部,False
885,9,2013,銀賞,支部,False
4694,8,2013,銅賞,支部,False
2320,7,2013,銀賞,支部,False
440,9,2013,銀賞,支部,False
3469,11,2013,銀賞,支部,False
921,8,2013,銀賞,支部,False
4761,7,2013,銅賞,支部,False
3916,11,2013,銀賞,支部,False
1350,11,2013,銅賞,支部,False
2520,9,2013,金賞,支部,False
1662,9,2013,金賞,支部,False
532,4,2013,銅賞,支部,False
2089,3,2013,銀賞,支部,False
1300,1,2013,銅賞,支部,False
1347,2,2013,銅賞,支部,False
4402,6,2013,銀賞,支部,False
580,5,2013,銅賞,支部,False
2476,3,2013,銀賞,支部,False
603,5,2013,金賞,支部,False
4007,2,2013,銅賞,支部,False
954,6,2013,銀賞,全国,False
2871,4,2013,銀賞,支部,False
1409,1,2013,銅賞,支部,False
5216,2,2013,銅賞,支部,False
2532,5,2013,銀賞,支部,False
2440,4,2013,金賞,支部,False
1509,6,2013,銀賞,全国,False
4282,1,2013,銀賞,支部,False
357,3,2013,金賞,支部,False
1101,5,2013,銀賞,支部,False
3840,6,2013,銅賞,全国,False
236,1,2013,銀賞,支部,False
13,2,2013,銀賞,支部,False
3459,3,2013,金賞,支部,False
1460,4,2013,金賞,支部,False
561,45,2013,銀賞,都道府県,False
1225,45,2013,銀賞,都道府県,False
4153,45,2013,金賞,都道府県,False
