fullName,nationalBest,prefecture,regionalBest,shortName,year
大阪府立交野高等学校,,大阪,8,交野,2016
浪速高等学校,,大阪,8,浪速,2016
大阪府立吹田高等学校,,大阪,8,吹田,2016
近畿大学泉州高等学校,,大阪,8,近大泉州,2016
大阪偕星学園高等学校,32,大阪,1,大阪偕星学園,2015
大阪体育大学浪商高等学校,,大阪,2,大体大浪商,2015
大阪産業大学附属高等学校,,大阪,4,大阪産大附,2015
大阪府立大冠高等学校,,大阪,4,大冠,2015
大阪府立堺東高等学校,,大阪,8,堺東,2015
ピーエル学園高等学校,,大阪,8,PL学園,2015
大阪市立汎愛高等学校,,大阪,8,汎愛,2015
大阪桐蔭高等学校,,大阪,8,大阪桐蔭,2015
大阪桐蔭高等学校,1,大阪,1,大阪桐蔭,2014
ピーエル学園高等学校,,大阪,2,PL学園,2014
履正社高等学校,,大阪,4,履正社,2014
関西大学北陽高等学校,,大阪,4,関大北陽,2014
上宮高等学校,,大阪,8,上宮,2014
大阪府立枚方津田高等学校,,大阪,8,枚方津田,2014
大阪体育大学浪商高等学校,,大阪,8,大体大浪商,2014
明星高等学校,,大阪,8,明星,2014
大阪桐蔭高等学校,16,大阪,1,大阪桐蔭,2013
履正社高等学校,,大阪,2,履正社,2013
関西創価高等学校,,大阪,4,関西創価,2013
東大阪大学柏原高等学校,,大阪,4,東大阪大柏原,2013
関西大学北陽高等学校,,大阪,8,関大北陽,2013
上宮太子高等学校,,大阪,8,上宮太子,2013
東海大学付属大阪仰星高等学校,,大阪,8,東海大仰星,2013
大阪市立桜宮高等学校,,大阪,8,桜宮,2013
神戸国際大学附属高等学校,16,兵庫,1,神戸国際大附,2017
明石市立明石商業高等学校,,兵庫,2,明石商,2017
報徳学園高等学校,,兵庫,4,報徳学園,2017
滝川第二高等学校,,兵庫,4,滝川第二,2017
西宮市立西宮高等学校,,兵庫,8,市立西宮,2017
育英高等学校,,兵庫,8,育英,2017
市川高等学校,,兵庫,8,市川,2017
関西学院高等部,,兵庫,8,関西学院,2017
尼崎市立尼崎高等学校,64,兵庫,1,市立尼崎,2016
明石市立明石商業高等学校,,兵庫,2,明石商,2016
兵庫県立社高等学校,,兵庫,4,社,2016
神港学園高等学校,,兵庫,4,神港学園,2016
市川高等学校,,兵庫,8,市川,2016
神戸国際大学附属高等学校,,兵庫,8,神戸国際大附,2016
兵庫県立明石南高等学校,,兵庫,8,明石南,2016
報徳学園高等学校,,兵庫,8,報徳学園,2016
滝川第二高等学校,32,兵庫,1,滝川第二,2015
明石市立明石商業高等学校,,兵庫,2,明石商,2015
神戸国際大学附属高等学校,,兵庫,4,神戸国際大附,2015
兵庫県立西脇高等学校,,兵庫,4,西脇,2015
兵庫県立津名高等学校,,兵庫,8,津名,2015
神戸市立須磨翔風高等学校,,兵庫,8,須磨翔風,2015
兵庫県立須磨友が丘高等学校,,兵庫,8,須磨友が丘,2015
報徳学園高等学校,,兵庫,8,報徳学園,2015
神戸国際大学附属高等学校,64,兵庫,1,神戸国際大附,2014
三田松聖高等学校,,兵庫,2,三田松聖,2014
関西学院高等部,,兵庫,4,関西学院,2014
兵庫県立社高等学校,,兵庫,4,社,2014
明石市立明石商業高等学校,,兵庫,8,明石商,2014
西宮市立西宮高等学校,,兵庫,8,市立西宮,2014
兵庫県立加古川北高等学校,,兵庫,8,加古川北,2014
滝川高等学校,,兵庫,8,滝川,2014
兵庫県立西脇工業高等学校,32,兵庫,1,西脇工,2013
東洋大学附属姫路高等学校,,兵庫,2,東洋大姫路,2013
報徳学園高等学校,,兵庫,4,報徳学園,2013
育英高等学校,,兵庫,4,育英,2013
兵庫県立武庫荘総合高等学校,,兵庫,8,武庫荘総合,2013
明石市立明石商業高等学校,,兵庫,8,明石商,2013
尼崎市立尼崎高等学校,,兵庫,8,市立尼崎,2013
神戸市立六甲アイランド高等学校,,兵庫,8,六甲アイランド,2013
天理高等学校,4,奈良,1,天理,2017
奈良大学附属高等学校,,奈良,2,奈良大附,2017
県立高田商業高等学校,,奈良,4,高田商,2017
智辯学園高等学校,,奈良,4,智辯学園,2017
奈良学園登美ヶ丘高等学校,,奈良,8,登美ヶ丘,2017
橿原学院高等学校,,奈良,8,橿原学院,2017
奈良県立高円高等学校,,奈良,8,高円,2017
関西中央高等学校,,奈良,8,関西中央,2017
智辯学園高等学校,32,奈良,1,智辯学園,2016
天理高等学校,,奈良,2,天理,2016
奈良県立郡山高等学校,,奈良,4,郡山,2016
奈良大学附属高等学校,,奈良,4,奈良大附,2016
奈良県立奈良朱雀高等学校,,奈良,8,奈良朱雀,2016
奈良県立高田高等学校,,奈良,8,高田,2016
奈良県立奈良高等学校,,奈良,8,奈良,2016
奈良県立五條高等学校,,奈良,8,五條,2016
天理高等学校,64,奈良,1,天理,2015
奈良県立大和広陵高等学校,,奈良,2,大和広陵,2015
奈良県立奈良高等学校,,奈良,4,奈良,2015
奈良県立畝傍高等学校,,奈良,4,畝傍,2015
関西中央高等学校,,奈良,8,関西中央,2015
橿原学院高等学校,,奈良,8,橿原学院,2015
奈良県立磯城野高等学校,,奈良,8,磯城野,2015
大和高田市立高田商業高等学校,,奈良,8,高田商,2015
智辯学園高等学校,64,奈良,1,智辯学園,2014
天理高等学校,,奈良,2,天理,2014
奈良県立畝傍高等学校,,奈良,4,畝傍,2014
奈良県立大和広陵高等学校,,奈良,4,大和広陵,2014
奈良県立御所実業高等学校,,奈良,8,御所実,2014
奈良大学附属高等学校,,奈良,8,奈良大附,2014
奈良県立法隆寺国際高等学校,,奈良,8,法隆寺国際,2014
奈良学園登美ヶ丘高等学校,,奈良,8,登美ヶ丘,2014
奈良県立桜井高等学校,64,奈良,1,桜井,2013
奈良大学附属高等学校,,奈良,2,奈良大附,2013
奈良県立奈良朱雀高等学校,,奈良,4,奈良朱雀,2013
奈良県立大和広陵高等学校,,奈良,4,大和広陵,2013
奈良県立香芝高等学校,,奈良,8,香芝,2013
智辯学園高等学校,,奈良,8,智辯学園,2013
奈良県立橿原高等学校,,奈良,8,橿原,2013
奈良県立五條高等学校,,奈良,8,五條,2013
智辯学園和歌山高等学校,32,和歌山,1,智辯和歌山,2017
和歌山県立紀央館高等学校,,和歌山,2,紀央館,2017
和歌山市立和歌山高等学校,,和歌山,4,市立和歌山,2017
和歌山県立和歌山東高等学校,,和歌山,4,和歌山東,2017
和歌山県立田辺工業高等学校,,和歌山,8,田辺工,2017
名古屋市立向陽高等学校,,和歌山,8,向陽,2017
埼玉県立日高高等学校,,和歌山,8,日高,2017
和歌山県立桐蔭高等学校,,和歌山,8,桐蔭,2017
和歌山市立和歌山高等学校,32,和歌山,1,市立和歌山,2016
和歌山県立箕島高等学校,,和歌山,2,箕島,2016
和歌山県立橋本高等学校,,和歌山,4,橋本,2016
和歌山県立和歌山東高等学校,,和歌山,4,和歌山東,2016
和歌山工業高等専門学校,,和歌山,8,和歌山高専,2016
和歌山県立海南高等学校,,和歌山,8,海南,2016
和歌山県立南部高等学校,,和歌山,8,南部,2016
智辯学園和歌山高等学校,,和歌山,8,智辯和歌山,2016
智辯学園和歌山高等学校,64,和歌山,1,智辯和歌山,2015
和歌山県立和歌山商業高等学校,,和歌山,2,県立和歌山商,2015
和歌山県立箕島高等学校,,和歌山,4,箕島,2015
和歌山県立田辺工業高等学校,,和歌山,4,田辺工,2015
和歌山県立耐久高等学校,,和歌山,8,耐久,2015
和歌山市立和歌山高等学校,,和歌山,8,市立和歌山,2015
和歌山県立和歌山工業高等学校,,和歌山,8,和歌山工,2015
和歌山県立紀央館高等学校,,和歌山,8,紀央館,2015
和歌山市立和歌山高等学校,64,和歌山,1,市立和歌山,2014
智辯学園和歌山高等学校,,和歌山,2,智辯和歌山,2014
和歌山県立紀央館高等学校,,和歌山,4,紀央館,2014
和歌山県立和歌山商業高等学校,,和歌山,4,県立和歌山商,2014
和歌山県立箕島高等学校,,和歌山,8,箕島,2014
,,和歌山,8,伊都,2014
和歌山県立田辺高等学校,,和歌山,8,田辺,2014
和歌山県立向陽高等学校,,和歌山,8,向陽,2014
和歌山県立箕島高等学校,64,和歌山,1,箕島,2013
和歌山県立南部高等学校,,和歌山,2,南部,2013
和歌山県立和歌山東高等学校,,和歌山,4,和歌山東,2013
和歌山県立日高高等学校中津分校,,和歌山,4,日高中津,2013
和歌山県立紀北工業高等学校,,和歌山,8,紀北工,2013
和歌山県立和歌山工業高等学校,,和歌山,8,和歌山工,2013
和歌山県立南部高等学校龍神分校,,和歌山,8,南部龍神,2013
和歌山県立那賀高等学校,,和歌山,8,那賀,2013
米子松蔭高等学校,64,鳥取,1,米子松蔭,2017
鳥取県立米子東高等学校,,鳥取,2,米子東,2017
鳥取県立倉吉東高等学校,,鳥取,4,倉吉東,2017
鳥取県立八頭高等学校,,鳥取,4,八頭,2017
鳥取県立倉吉西高等学校,,鳥取,8,倉吉西,2017
鳥取県立米子工業高等学校,,鳥取,8,米子工,2017
鳥取県立鳥取中央育英高等学校,,鳥取,8,鳥取中央育英,2017
鳥取県立鳥取西高等学校,,鳥取,8,鳥取西,2017
鳥取県立境高等学校,32,鳥取,1,境,2016
米子松蔭高等学校,,鳥取,2,米子松蔭,2016
鳥取県立鳥取西高等学校,,鳥取,4,鳥取西,2016
鳥取城北高等学校,,鳥取,4,鳥取城北,2016
米子北高等学校,,鳥取,8,米子北,2016
鳥取県立八頭高等学校,,鳥取,8,八頭,2016
鳥取県立倉吉東高等学校,,鳥取,8,倉吉東,2016
鳥取県立米子東高等学校,,鳥取,8,米子東,2016
鳥取城北高等学校,32,鳥取,1,鳥取城北,2015
鳥取県立鳥取西高等学校,,鳥取,2,鳥取西,2015
鳥取県立境高等学校,,鳥取,4,境,2015
鳥取県立米子西高等学校,,鳥取,4,米子西,2015
鳥取県立鳥取商業高等学校,,鳥取,8,鳥取商,2015
鳥取県立日野高等学校,,鳥取,8,日野,2015
米子北高等学校,,鳥取,8,米子北,2015
鳥取県立倉吉総合産業高等学校,,鳥取,8,倉吉総合産,2015
鳥取県立八頭高等学校,16,鳥取,1,八頭,2014
鳥取城北高等学校,,鳥取,2,鳥取城北,2014
鳥取県立鳥取商業高等学校,,鳥取,4,鳥取商,2014
鳥取県立米子東高等学校,,鳥取,4,米子東,2014
鳥取県立倉吉東高等学校,,鳥取,8,倉吉東,2014
米子北高等学校,,鳥取,8,米子北,2014
鳥取県立鳥取中央育英高等学校,,鳥取,8,鳥取中央育英,2014
鳥取県立米子西高等学校,,鳥取,8,米子西,2014
